"fix_explain","sum","all_disciplines"
"no_data",27,"BIOC, CHEM, ENGI, MEDI, PHYS"
"other",81,"BIOC, CHEM, COMP, EART, ENGI, ENVI, MATE, MEDI, PHYS"
"research_question",116,"BIOC, CHEM, COMP, EART, ENGI, ENVI, MATE, MEDI, PHYS"
"students",19,"BIOC, CHEM, ENGI, ENVI, MATE, MEDI, PHYS"
"ip",5,"BIOC, COMP, MATE, MEDI"
